,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
223,Tottenham Hotspur,Sunderland,3.0,16.0,36284.0,White Hart Lane,dec,0.0,2011/12,2011,London,6.0,65.1,36021.0
224,Manchester City,Arsenal,1.0,5.0,53400.0,Etihad Stadium,dec,0.0,2011/12,2011,Manchester,5.0,37.4,47303.0
225,Blackburn Rovers,West Bromwich Albion,19.0,13.0,31367.0,Ewood Park,dec,0.0,2011/12,2011,Blackburn,6.0,45.0,22909.0
226,Everton,Norwich City,14.0,9.0,39414.0,Goodison Park,dec,0.0,2011/12,2011,Liverpool,6.0,72.8,31004.0
227,Fulham,Bolton Wanderers,11.0,20.0,25700.0,Craven Cottage,dec,0.0,2011/12,2011,London,6.0,65.1,25643.0
228,Newcastle United,Swansea City,7.0,12.0,52305.0,St James' Park,dec,0.0,2011/12,2011,Newcastle,4.0,230.3,51767.0
229,Wolverhampton Wanderers,Stoke City,17.0,8.0,32050.0,Molineux Stadium,dec,0.0,2011/12,2011,Wolverhampton,5.0,54.2,24684.0
230,Wigan Athletic,Chelsea,18.0,4.0,25138.0,DW Stadium,dec,0.0,2011/12,2011,Wigan,6.0,72.8,18320.0
231,Chelsea,Manchester City,3.0,1.0,40834.0,Stamford Bridge,dec,0.0,2011/12,2011,London,6.0,65.1,41730.0
232,Sunderland,Blackburn Rovers,16.0,19.0,48707.0,Stadium of Light,dec,0.0,2011/12,2011,Sunderland,4.0,22.9,39863.0
233,Stoke City,Tottenham Hotspur,8.0,4.0,30089.0,bet365 Stadium,dec,0.0,2011/12,2011,Stoke,5.0,37.4,27529.0
234,Arsenal,Everton,5.0,12.0,60704.0,Emirates Stadium,dec,0.0,2011/12,2011,London,6.0,65.1,60062.0
235,Bolton Wanderers,Aston Villa,20.0,9.0,28723.0,University of Bolton Stadium,dec,0.0,2011/12,2011,Bolton,5.0,37.4,20285.0
236,Liverpool,Queens Park Rangers,6.0,13.0,54074.0,Anfield,dec,0.0,2011/12,2011,Liverpool,6.0,72.8,45016.0
237,Manchester United,Wolverhampton Wanderers,2.0,17.0,75643.0,Old Trafford,dec,0.0,2011/12,2011,Manchester,5.0,37.4,75627.0
238,Norwich City,Newcastle United,10.0,7.0,27359.0,Carrow Road,dec,0.0,2011/12,2011,Norwich,5.0,31.7,26816.0
239,Swansea City,Fulham,11.0,14.0,20937.0,Liberty Stadium,dec,0.0,2011/12,2011,Swansea,7.0,113.7,19296.0
240,West Bromwich Albion,Wigan Athletic,15.0,18.0,26445.0,The Hawthorns,dec,0.0,2011/12,2011,West Bromwich,5.0,27.9,25446.0
241,Fulham,Liverpool,13.0,7.0,25700.0,Craven Cottage,dec,0.0,2011/12,2011,London,6.0,65.1,25688.0
242,Everton,Stoke City,10.0,8.0,39414.0,Goodison Park,dec,0.0,2011/12,2011,Liverpool,6.0,72.8,33219.0
243,Wolverhampton Wanderers,Sunderland,16.0,17.0,32050.0,Molineux Stadium,dec,0.0,2011/12,2011,Wolverhampton,5.0,54.2,25145.0
244,Newcastle United,Chelsea,6.0,4.0,52305.0,St James' Park,dec,0.0,2011/12,2011,Newcastle,4.0,230.3,52305.0
245,Blackburn Rovers,Swansea City,18.0,15.0,31367.0,Ewood Park,dec,0.0,2011/12,2011,Blackburn,6.0,45.0,23080.0
246,Manchester City,Norwich City,1.0,11.0,53400.0,Etihad Stadium,dec,0.0,2011/12,2011,Manchester,5.0,37.4,47201.0
247,Queens Park Rangers,West Bromwich Albion,12.0,14.0,18439.0,Kiyan Prince Foundation Stadium,dec,0.0,2011/12,2011,London,6.0,65.1,17290.0
248,Tottenham Hotspur,Bolton Wanderers,3.0,19.0,36284.0,White Hart Lane,dec,0.0,2011/12,2011,London,6.0,65.1,35896.0
249,Wigan Athletic,Arsenal,20.0,5.0,25138.0,DW Stadium,dec,0.0,2011/12,2011,Wigan,6.0,72.8,19280.0
250,Aston Villa,Manchester United,9.0,2.0,42749.0,Villa Park,dec,0.0,2011/12,2011,Birmingham,5.0,27.9,40053.0
251,Swansea City,Aston Villa,13.0,8.0,20937.0,Liberty Stadium,nov,0.0,2011/12,2011,Swansea,10.0,125.4,20404.0
252,Liverpool,Manchester City,6.0,1.0,54074.0,Anfield,nov,0.0,2011/12,2011,Liverpool,8.0,67.8,45071.0
253,Stoke City,Blackburn Rovers,12.0,20.0,30089.0,bet365 Stadium,nov,0.0,2011/12,2011,Stoke,7.0,35.8,26686.0
254,Bolton Wanderers,Everton,18.0,9.0,28723.0,University of Bolton Stadium,nov,0.0,2011/12,2011,Bolton,7.0,35.8,24058.0
255,Chelsea,Wolverhampton Wanderers,5.0,17.0,40834.0,Stamford Bridge,nov,0.0,2011/12,2011,London,9.0,72.0,41648.0
256,Manchester United,Newcastle United,2.0,4.0,75643.0,Old Trafford,nov,0.0,2011/12,2011,Manchester,7.0,35.8,75594.0
257,Norwich City,Queens Park Rangers,10.0,11.0,27359.0,Carrow Road,nov,0.0,2011/12,2011,Norwich,8.0,32.6,26781.0
258,Sunderland,Wigan Athletic,16.0,19.0,48707.0,Stadium of Light,nov,0.0,2011/12,2011,Sunderland,6.0,26.6,37883.0
259,West Bromwich Albion,Tottenham Hotspur,14.0,3.0,26445.0,The Hawthorns,nov,0.0,2011/12,2011,West Bromwich,7.0,31.5,24801.0
260,Arsenal,Fulham,7.0,15.0,60704.0,Emirates Stadium,nov,1.0,2011/12,2011,London,9.0,72.0,60043.0
261,Tottenham Hotspur,Aston Villa,3.0,8.0,36284.0,White Hart Lane,nov,0.0,2011/12,2011,London,9.0,72.0,35818.0
262,Chelsea,Liverpool,5.0,6.0,40834.0,Stamford Bridge,nov,0.0,2011/12,2011,London,9.0,72.0,41820.0
263,Norwich City,Arsenal,11.0,7.0,27359.0,Carrow Road,nov,0.0,2011/12,2011,Norwich,8.0,32.6,26801.0
264,Everton,Wolverhampton Wanderers,12.0,17.0,39414.0,Goodison Park,nov,0.0,2011/12,2011,Liverpool,8.0,67.8,33953.0
265,Manchester City,Newcastle United,1.0,4.0,53400.0,Etihad Stadium,nov,0.0,2011/12,2011,Manchester,7.0,35.8,47408.0
266,Stoke City,Queens Park Rangers,14.0,9.0,30089.0,bet365 Stadium,nov,0.0,2011/12,2011,Stoke,7.0,35.8,27618.0
267,Sunderland,Fulham,15.0,16.0,48707.0,Stadium of Light,nov,0.0,2011/12,2011,Sunderland,6.0,26.6,37688.0
268,West Bromwich Albion,Bolton Wanderers,10.0,18.0,26445.0,The Hawthorns,nov,0.0,2011/12,2011,West Bromwich,7.0,31.5,26221.0
269,Wigan Athletic,Blackburn Rovers,20.0,19.0,25138.0,DW Stadium,nov,0.0,2011/12,2011,Wigan,8.0,67.8,17392.0
270,Swansea City,Manchester United,13.0,2.0,20937.0,Liberty Stadium,nov,0.0,2011/12,2011,Swansea,10.0,125.4,20295.0
271,Wolverhampton Wanderers,Wigan Athletic,13.0,20.0,32050.0,Molineux Stadium,nov,0.0,2011/12,2011,Wolverhampton,8.0,51.1,23536.0
272,Bolton Wanderers,Stoke City,18.0,12.0,28723.0,University of Bolton Stadium,nov,0.0,2011/12,2011,Bolton,7.0,35.8,20028.0
273,Fulham,Tottenham Hotspur,16.0,5.0,25700.0,Craven Cottage,nov,1.0,2011/12,2011,London,9.0,72.0,25698.0
274,Arsenal,West Bromwich Albion,7.0,14.0,60704.0,Emirates Stadium,nov,0.0,2011/12,2011,London,9.0,72.0,60091.0
275,Aston Villa,Norwich City,8.0,9.0,42749.0,Villa Park,nov,0.0,2011/12,2011,Birmingham,7.0,31.5,35290.0
276,Blackburn Rovers,Chelsea,19.0,4.0,31367.0,Ewood Park,nov,0.0,2011/12,2011,Blackburn,8.0,43.7,21985.0
277,Liverpool,Swansea City,6.0,10.0,54074.0,Anfield,nov,0.0,2011/12,2011,Liverpool,8.0,67.8,45013.0
278,Manchester United,Sunderland,2.0,15.0,75643.0,Old Trafford,nov,0.0,2011/12,2011,Manchester,7.0,35.8,75570.0
279,Queens Park Rangers,Manchester City,11.0,1.0,18439.0,Kiyan Prince Foundation Stadium,nov,0.0,2011/12,2011,London,9.0,72.0,18076.0
280,Newcastle United,Everton,3.0,17.0,52305.0,St James' Park,nov,0.0,2011/12,2011,Newcastle,6.0,202.8,50671.0
281,Stoke City,Newcastle United,11.0,3.0,30089.0,bet365 Stadium,oct,0.0,2011/12,2011,Stoke,11.0,46.1,26564.0
282,Tottenham Hotspur,Queens Park Rangers,5.0,12.0,36284.0,White Hart Lane,oct,1.0,2011/12,2011,London,13.0,61.5,36147.0
283,Everton,Manchester United,16.0,2.0,39414.0,Goodison Park,oct,0.0,2011/12,2011,Liverpool,12.0,58.2,35494.0
284,Chelsea,Arsenal,4.0,7.0,40834.0,Stamford Bridge,oct,1.0,2011/12,2011,London,13.0,61.5,41801.0
285,Manchester City,Wolverhampton Wanderers,1.0,17.0,53400.0,Etihad Stadium,oct,0.0,2011/12,2011,Manchester,11.0,46.1,47142.0
286,Norwich City,Blackburn Rovers,8.0,18.0,27359.0,Carrow Road,oct,0.0,2011/12,2011,Norwich,12.0,30.6,26440.0
287,Sunderland,Aston Villa,14.0,9.0,48707.0,Stadium of Light,oct,0.0,2011/12,2011,Sunderland,10.0,33.2,37062.0
288,Swansea City,Bolton Wanderers,10.0,19.0,20937.0,Liberty Stadium,oct,0.0,2011/12,2011,Swansea,13.0,103.1,19477.0
289,Wigan Athletic,Fulham,20.0,15.0,25138.0,DW Stadium,oct,0.0,2011/12,2011,Wigan,12.0,58.2,15796.0
290,West Bromwich Albion,Liverpool,13.0,6.0,26445.0,The Hawthorns,oct,0.0,2011/12,2011,West Bromwich,11.0,31.9,25522.0
291,Arsenal,Stoke City,7.0,9.0,60704.0,Emirates Stadium,oct,0.0,2011/12,2011,London,13.0,61.5,59671.0
292,Fulham,Everton,17.0,13.0,25700.0,Craven Cottage,oct,0.0,2011/12,2011,London,13.0,61.5,25646.0
293,Manchester United,Manchester City,2.0,1.0,75643.0,Old Trafford,oct,1.0,2011/12,2011,Manchester,11.0,46.1,75487.0
294,Blackburn Rovers,Tottenham Hotspur,20.0,5.0,31367.0,Ewood Park,oct,0.0,2011/12,2011,Blackburn,11.0,54.6,22786.0
295,Queens Park Rangers,Chelsea,10.0,3.0,18439.0,Kiyan Prince Foundation Stadium,oct,1.0,2011/12,2011,London,13.0,61.5,18050.0
296,Wolverhampton Wanderers,Swansea City,16.0,15.0,32050.0,Molineux Stadium,oct,0.0,2011/12,2011,Wolverhampton,11.0,43.4,25216.0
297,Aston Villa,West Bromwich Albion,11.0,12.0,42749.0,Villa Park,oct,0.0,2011/12,2011,Birmingham,11.0,31.9,34152.0
298,Bolton Wanderers,Sunderland,18.0,14.0,28723.0,University of Bolton Stadium,oct,0.0,2011/12,2011,Bolton,11.0,46.1,24349.0
299,Newcastle United,Wigan Athletic,4.0,19.0,52305.0,St James' Park,oct,0.0,2011/12,2011,Newcastle,9.0,161.3,48321.0
300,Liverpool,Norwich City,6.0,8.0,54074.0,Anfield,oct,0.0,2011/12,2011,Liverpool,12.0,58.2,44931.0
301,West Bromwich Albion,Wolverhampton Wanderers,12.0,16.0,26445.0,The Hawthorns,oct,0.0,2011/12,2011,West Bromwich,11.0,31.9,24872.0
302,Arsenal,Sunderland,10.0,17.0,60704.0,Emirates Stadium,oct,0.0,2011/12,2011,London,13.0,61.5,60078.0
303,Newcastle United,Tottenham Hotspur,4.0,6.0,52305.0,St James' Park,oct,0.0,2011/12,2011,Newcastle,9.0,161.3,46420.0
304,Liverpool,Manchester United,5.0,2.0,54074.0,Anfield,oct,0.0,2011/12,2011,Liverpool,12.0,58.2,45065.0
305,Manchester City,Aston Villa,1.0,8.0,53400.0,Etihad Stadium,oct,0.0,2011/12,2011,Manchester,11.0,46.1,47019.0
306,Norwich City,Swansea City,9.0,13.0,27359.0,Carrow Road,oct,0.0,2011/12,2011,Norwich,12.0,30.6,26567.0
307,Queens Park Rangers,Blackburn Rovers,11.0,20.0,18439.0,Kiyan Prince Foundation Stadium,oct,0.0,2011/12,2011,London,13.0,61.5,16487.0
308,Stoke City,Fulham,7.0,14.0,30089.0,bet365 Stadium,oct,0.0,2011/12,2011,Stoke,11.0,46.1,26890.0
309,Wigan Athletic,Bolton Wanderers,19.0,18.0,25138.0,DW Stadium,oct,0.0,2011/12,2011,Wigan,12.0,58.2,17261.0
310,Chelsea,Everton,3.0,15.0,40834.0,Stamford Bridge,oct,0.0,2011/12,2011,London,13.0,61.5,41789.0
311,Bolton Wanderers,Chelsea,20.0,3.0,28723.0,University of Bolton Stadium,oct,0.0,2011/12,2011,Bolton,11.0,46.1,24657.0
312,Fulham,Queens Park Rangers,12.0,11.0,25700.0,Craven Cottage,oct,1.0,2011/12,2011,London,13.0,61.5,23766.0
313,Swansea City,Stoke City,10.0,8.0,20937.0,Liberty Stadium,oct,0.0,2011/12,2011,Swansea,13.0,103.1,19523.0
314,Tottenham Hotspur,Arsenal,6.0,15.0,36284.0,White Hart Lane,oct,1.0,2011/12,2011,London,13.0,61.5,36274.0
315,Aston Villa,Wigan Athletic,7.0,18.0,42749.0,Villa Park,oct,0.0,2011/12,2011,Birmingham,11.0,31.9,30744.0
316,Blackburn Rovers,Manchester City,19.0,2.0,31367.0,Ewood Park,oct,0.0,2011/12,2011,Blackburn,11.0,54.6,24760.0
317,Manchester United,Norwich City,1.0,9.0,75643.0,Old Trafford,oct,0.0,2011/12,2011,Manchester,11.0,46.1,75514.0
318,Sunderland,West Bromwich Albion,16.0,17.0,48707.0,Stadium of Light,oct,0.0,2011/12,2011,Sunderland,10.0,33.2,34815.0
319,Wolverhampton Wanderers,Newcastle United,14.0,4.0,32050.0,Molineux Stadium,oct,0.0,2011/12,2011,Wolverhampton,11.0,43.4,26561.0
320,Everton,Liverpool,13.0,5.0,39414.0,Goodison Park,oct,1.0,2011/12,2011,Liverpool,12.0,58.2,39510.0
321,Norwich City,Sunderland,9.0,14.0,27359.0,Carrow Road,sep,0.0,2011/12,2011,Norwich,15.0,24.0,26107.0
322,Queens Park Rangers,Aston Villa,10.0,8.0,18439.0,Kiyan Prince Foundation Stadium,sep,0.0,2011/12,2011,London,16.0,41.2,16707.0
323,Manchester City,Everton,2.0,11.0,53400.0,Etihad Stadium,sep,0.0,2011/12,2011,Manchester,14.0,26.5,47293.0
324,Arsenal,Bolton Wanderers,13.0,20.0,60704.0,Emirates Stadium,sep,0.0,2011/12,2011,London,16.0,41.2,59727.0
325,Chelsea,Swansea City,3.0,16.0,40834.0,Stamford Bridge,sep,0.0,2011/12,2011,London,16.0,41.2,41800.0
326,Liverpool,Wolverhampton Wanderers,5.0,12.0,54074.0,Anfield,sep,0.0,2011/12,2011,Liverpool,15.0,49.0,44922.0
327,Newcastle United,Blackburn Rovers,4.0,18.0,52305.0,St James' Park,sep,0.0,2011/12,2011,Newcastle,12.0,101.9,46236.0
328,West Bromwich Albion,Fulham,19.0,17.0,26445.0,The Hawthorns,sep,0.0,2011/12,2011,West Bromwich,14.0,17.8,23835.0
329,Wigan Athletic,Tottenham Hotspur,15.0,6.0,25138.0,DW Stadium,sep,0.0,2011/12,2011,Wigan,15.0,49.0,18788.0
330,Stoke City,Manchester United,7.0,1.0,30089.0,bet365 Stadium,sep,0.0,2011/12,2011,Stoke,14.0,26.5,27582.0
331,Tottenham Hotspur,Liverpool,11.0,8.0,36284.0,White Hart Lane,sep,0.0,2011/12,2011,London,16.0,41.2,36129.0
332,Fulham,Manchester City,18.0,2.0,25700.0,Craven Cottage,sep,0.0,2011/12,2011,London,16.0,41.2,24750.0
333,Sunderland,Stoke City,12.0,5.0,48707.0,Stadium of Light,sep,0.0,2011/12,2011,Sunderland,13.0,19.0,32296.0
334,Manchester United,Chelsea,1.0,3.0,75643.0,Old Trafford,sep,0.0,2011/12,2011,Manchester,14.0,26.5,75455.0
335,Blackburn Rovers,Arsenal,16.0,17.0,31367.0,Ewood Park,sep,0.0,2011/12,2011,Blackburn,14.0,30.9,22637.0
336,Aston Villa,Newcastle United,6.0,4.0,42749.0,Villa Park,sep,0.0,2011/12,2011,Birmingham,14.0,17.8,34248.0
337,Bolton Wanderers,Norwich City,19.0,13.0,28723.0,University of Bolton Stadium,sep,0.0,2011/12,2011,Bolton,14.0,26.5,21223.0
338,Everton,Wigan Athletic,7.0,15.0,39414.0,Goodison Park,sep,0.0,2011/12,2011,Liverpool,15.0,49.0,31576.0
339,Swansea City,West Bromwich Albion,14.0,20.0,20937.0,Liberty Stadium,sep,0.0,2011/12,2011,Swansea,15.0,58.2,20341.0
340,Wolverhampton Wanderers,Queens Park Rangers,10.0,9.0,32050.0,Molineux Stadium,sep,0.0,2011/12,2011,Wolverhampton,14.0,45.0,24189.0
341,Queens Park Rangers,Newcastle United,11.0,4.0,18439.0,Kiyan Prince Foundation Stadium,sep,0.0,2011/12,2011,London,16.0,41.2,16211.0
342,Norwich City,West Bromwich Albion,17.0,13.0,27359.0,Carrow Road,sep,0.0,2011/12,2011,Norwich,15.0,24.0,26158.0
343,Fulham,Blackburn Rovers,18.0,20.0,25700.0,Craven Cottage,sep,0.0,2011/12,2011,London,16.0,41.2,24856.0
344,Arsenal,Swansea City,12.0,19.0,60704.0,Emirates Stadium,sep,0.0,2011/12,2011,London,16.0,41.2,60087.0
345,Everton,Aston Villa,10.0,8.0,39414.0,Goodison Park,sep,0.0,2011/12,2011,Liverpool,15.0,49.0,32736.0
346,Manchester City,Wigan Athletic,2.0,9.0,53400.0,Etihad Stadium,sep,0.0,2011/12,2011,Manchester,14.0,26.5,46509.0
347,Stoke City,Liverpool,5.0,6.0,30089.0,bet365 Stadium,sep,0.0,2011/12,2011,Stoke,14.0,26.5,27592.0
348,Sunderland,Chelsea,16.0,3.0,48707.0,Stadium of Light,sep,0.0,2011/12,2011,Sunderland,13.0,19.0,36699.0
349,Wolverhampton Wanderers,Tottenham Hotspur,7.0,15.0,32050.0,Molineux Stadium,sep,0.0,2011/12,2011,Wolverhampton,14.0,45.0,25274.0
350,Bolton Wanderers,Manchester United,14.0,1.0,28723.0,University of Bolton Stadium,sep,0.0,2011/12,2011,Bolton,14.0,26.5,25944.0
351,Newcastle United,Fulham,6.0,16.0,52305.0,St James' Park,aug,0.0,2011/12,2011,Newcastle,13.0,104.9,42684.0
352,Tottenham Hotspur,Manchester City,20.0,2.0,36284.0,White Hart Lane,aug,0.0,2011/12,2011,London,18.0,57.5,36150.0
353,West Bromwich Albion,Stoke City,18.0,9.0,26445.0,The Hawthorns,aug,0.0,2011/12,2011,West Bromwich,16.0,27.0,22909.0
354,Manchester United,Arsenal,1.0,17.0,75643.0,Old Trafford,aug,0.0,2011/12,2011,Manchester,16.0,31.4,75448.0
355,Wigan Athletic,Queens Park Rangers,8.0,12.0,25138.0,DW Stadium,aug,0.0,2011/12,2011,Wigan,16.0,66.6,17225.0
356,Blackburn Rovers,Everton,19.0,11.0,31367.0,Ewood Park,aug,0.0,2011/12,2011,Blackburn,16.0,35.9,22826.0
357,Chelsea,Norwich City,4.0,14.0,40834.0,Stamford Bridge,aug,0.0,2011/12,2011,London,18.0,57.5,41765.0
358,Swansea City,Sunderland,15.0,13.0,20937.0,Liberty Stadium,aug,0.0,2011/12,2011,Swansea,16.0,95.2,19938.0
359,Liverpool,Bolton Wanderers,3.0,10.0,54074.0,Anfield,aug,0.0,2011/12,2011,Liverpool,16.0,66.6,44725.0
360,Aston Villa,Wolverhampton Wanderers,7.0,5.0,42749.0,Villa Park,aug,0.0,2011/12,2011,Birmingham,16.0,27.0,30776.0
361,Manchester United,Tottenham Hotspur,2.0,20.0,75643.0,Old Trafford,aug,0.0,2011/12,2011,Manchester,16.0,31.4,75498.0
362,Norwich City,Stoke City,10.0,11.0,27359.0,Carrow Road,aug,0.0,2011/12,2011,Norwich,17.0,27.7,26272.0
363,Wolverhampton Wanderers,Fulham,3.0,15.0,32050.0,Molineux Stadium,aug,0.0,2011/12,2011,Wolverhampton,16.0,54.5,22657.0
364,Bolton Wanderers,Manchester City,8.0,1.0,28723.0,University of Bolton Stadium,aug,0.0,2011/12,2011,Bolton,16.0,31.4,24273.0
365,Sunderland,Newcastle United,13.0,7.0,48707.0,Stadium of Light,aug,0.0,2011/12,2011,Sunderland,15.0,31.6,47751.0
366,Arsenal,Liverpool,14.0,5.0,60704.0,Emirates Stadium,aug,0.0,2011/12,2011,London,18.0,57.5,60090.0
367,Aston Villa,Blackburn Rovers,4.0,19.0,42749.0,Villa Park,aug,0.0,2011/12,2011,Birmingham,16.0,27.0,32319.0
368,Everton,Queens Park Rangers,17.0,9.0,39414.0,Goodison Park,aug,0.0,2011/12,2011,Liverpool,16.0,66.6,35008.0
369,Swansea City,Wigan Athletic,16.0,12.0,20937.0,Liberty Stadium,aug,0.0,2011/12,2011,Swansea,16.0,95.2,19028.0
370,Chelsea,West Bromwich Albion,6.0,18.0,40834.0,Stamford Bridge,aug,0.0,2011/12,2011,London,18.0,57.5,41091.0
371,Manchester City,Swansea City,2.0,18.0,53400.0,Etihad Stadium,aug,0.0,2011/12,2011,Manchester,16.0,31.4,46802.0
372,Stoke City,Chelsea,14.0,11.0,30089.0,bet365 Stadium,aug,0.0,2011/12,2011,Stoke,16.0,31.4,27421.0
373,West Bromwich Albion,Manchester United,16.0,3.0,26445.0,The Hawthorns,aug,0.0,2011/12,2011,West Bromwich,16.0,27.0,25360.0
374,Blackburn Rovers,Wolverhampton Wanderers,15.0,4.0,31367.0,Ewood Park,aug,0.0,2011/12,2011,Blackburn,16.0,35.9,21996.0
375,Fulham,Aston Villa,12.0,10.0,25700.0,Craven Cottage,aug,0.0,2011/12,2011,London,18.0,57.5,25700.0
376,Liverpool,Sunderland,5.0,7.0,54074.0,Anfield,aug,0.0,2011/12,2011,Liverpool,16.0,66.6,45018.0
377,Queens Park Rangers,Bolton Wanderers,17.0,1.0,18439.0,Kiyan Prince Foundation Stadium,aug,0.0,2011/12,2011,London,18.0,57.5,15195.0
378,Wigan Athletic,Norwich City,8.0,6.0,25138.0,DW Stadium,aug,0.0,2011/12,2011,Wigan,16.0,66.6,17454.0
379,Newcastle United,Arsenal,13.0,9.0,52305.0,St James' Park,aug,0.0,2011/12,2011,Newcastle,13.0,104.9,46894.0
380,Chelsea,Everton,3.0,6.0,40834.0,Stamford Bridge,may,0.0,2012/13,2012,London,14.0,52.1,41794.0
381,Liverpool,Queens Park Rangers,7.0,20.0,54074.0,Anfield,may,0.0,2012/13,2012,Liverpool,12.0,53.6,44792.0
382,Manchester City,Norwich City,2.0,11.0,53400.0,Etihad Stadium,may,0.0,2012/13,2012,Manchester,12.0,21.2,47054.0
383,Newcastle United,Arsenal,16.0,4.0,52305.0,St James' Park,may,0.0,2012/13,2012,Newcastle,9.0,116.4,52354.0
384,Southampton,Stoke City,14.0,13.0,32384.0,The Friends Provident St Mary's Stadium,may,0.0,2012/13,2012,Southampton,13.0,16.5,31539.0
385,Swansea City,Fulham,9.0,12.0,20937.0,Liberty Stadium,may,0.0,2012/13,2012,Swansea,12.0,80.3,20365.0
386,Tottenham Hotspur,Sunderland,5.0,17.0,36284.0,White Hart Lane,may,0.0,2012/13,2012,London,14.0,52.1,36063.0
387,West Bromwich Albion,Manchester United,8.0,1.0,26445.0,The Hawthorns,may,0.0,2012/13,2012,West Bromwich,12.0,26.6,26438.0
388,West Ham United,Reading,10.0,19.0,35345.0,Boleyn Ground,may,0.0,2012/13,2012,London,14.0,52.1,34973.0
389,Wigan Athletic,Aston Villa,18.0,15.0,25138.0,DW Stadium,may,0.0,2012/13,2012,Wigan,12.0,53.6,23001.0
390,Arsenal,Wigan Athletic,4.0,18.0,60704.0,Emirates Stadium,may,0.0,2012/13,2012,London,14.0,52.1,60068.0
391,Reading,Manchester City,19.0,2.0,24161.0,Madejski Stadium,may,0.0,2012/13,2012,Reading,12.0,32.5,22859.0
392,Stoke City,Tottenham Hotspur,11.0,5.0,30089.0,bet365 Stadium,may,0.0,2012/13,2012,Stoke,12.0,21.2,27531.0
393,Everton,West Ham United,6.0,10.0,39414.0,Goodison Park,may,0.0,2012/13,2012,Liverpool,12.0,53.6,39475.0
394,Fulham,Liverpool,15.0,7.0,25700.0,Craven Cottage,may,0.0,2012/13,2012,London,14.0,52.1,25640.0
395,Norwich City,West Bromwich Albion,12.0,8.0,27359.0,Carrow Road,may,0.0,2012/13,2012,Norwich,12.0,21.5,26837.0
396,Queens Park Rangers,Newcastle United,20.0,13.0,18439.0,Loftus Road,may,0.0,2012/13,2012,London,14.0,52.1,17278.0
397,Sunderland,Southampton,17.0,14.0,48707.0,Stadium of Light,may,0.0,2012/13,2012,Sunderland,10.0,23.0,41988.0
398,Manchester United,Swansea City,1.0,9.0,75643.0,Old Trafford,may,0.0,2012/13,2012,Manchester,12.0,21.2,75572.0
399,Aston Villa,Chelsea,16.0,3.0,42749.0,Villa Park,may,0.0,2012/13,2012,Birmingham,12.0,26.6,42084.0
400,Chelsea,Tottenham Hotspur,3.0,5.0,40834.0,Stamford Bridge,may,1.0,2012/13,2012,London,14.0,52.1,41581.0
401,Manchester City,West Bromwich Albion,2.0,8.0,53400.0,Etihad Stadium,may,0.0,2012/13,2012,Manchester,12.0,21.2,46158.0
402,Wigan Athletic,Swansea City,18.0,9.0,25138.0,DW Stadium,may,0.0,2012/13,2012,Wigan,12.0,53.6,18550.0
403,Sunderland,Stoke City,15.0,11.0,48707.0,Stadium of Light,may,0.0,2012/13,2012,Sunderland,10.0,23.0,38130.0
404,Liverpool,Everton,7.0,6.0,54074.0,Anfield,may,1.0,2012/13,2012,Liverpool,12.0,53.6,44991.0
405,Manchester United,Chelsea,1.0,3.0,75643.0,Old Trafford,may,0.0,2012/13,2012,Manchester,12.0,21.2,75500.0
406,Fulham,Reading,12.0,19.0,25700.0,Craven Cottage,may,0.0,2012/13,2012,London,14.0,52.1,24087.0
407,Norwich City,Aston Villa,16.0,13.0,27359.0,Carrow Road,may,0.0,2012/13,2012,Norwich,12.0,21.5,26842.0
408,Swansea City,Manchester City,9.0,2.0,20937.0,Liberty Stadium,may,0.0,2012/13,2012,Swansea,12.0,80.3,20242.0
409,Tottenham Hotspur,Southampton,5.0,14.0,36284.0,White Hart Lane,may,0.0,2012/13,2012,London,14.0,52.1,36190.0
410,West Bromwich Albion,Wigan Athletic,8.0,18.0,26445.0,The Hawthorns,may,0.0,2012/13,2012,West Bromwich,12.0,26.6,25756.0
411,West Ham United,Newcastle United,10.0,17.0,35345.0,Boleyn Ground,may,0.0,2012/13,2012,London,14.0,52.1,34962.0
412,Queens Park Rangers,Arsenal,20.0,4.0,18439.0,Loftus Road,may,1.0,2012/13,2012,London,14.0,52.1,18178.0
413,Aston Villa,Sunderland,16.0,15.0,42749.0,Villa Park,apr,0.0,2012/13,2012,Birmingham,8.0,23.8,37428.0
414,Reading,Queens Park Rangers,20.0,19.0,24161.0,Madejski Stadium,apr,0.0,2012/13,2012,Reading,9.0,30.5,23388.0
415,Chelsea,Swansea City,3.0,9.0,40834.0,Stamford Bridge,apr,0.0,2012/13,2012,London,11.0,30.6,41780.0
416,Arsenal,Manchester United,4.0,1.0,60704.0,Emirates Stadium,apr,0.0,2012/13,2012,London,11.0,30.6,60112.0
417,Everton,Fulham,6.0,11.0,39414.0,Goodison Park,apr,0.0,2012/13,2012,Liverpool,10.0,36.7,34563.0
418,Southampton,West Bromwich Albion,13.0,8.0,32384.0,The Friends Provident St Mary's Stadium,apr,0.0,2012/13,2012,Southampton,9.0,19.2,31946.0
419,Newcastle United,Liverpool,17.0,7.0,52305.0,St James' Park,apr,0.0,2012/13,2012,Newcastle,7.0,70.0,52351.0
