,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
541,Chelsea,Southampton,3.0,15.0,40834.0,Stamford Bridge,jan,0.0,2012/13,2012,London,6.0,52.9,38484.0
542,Manchester United,Liverpool,1.0,8.0,75643.0,Old Trafford,jan,0.0,2012/13,2012,Manchester,5.0,32.4,75501.0
543,Arsenal,Manchester City,6.0,2.0,60704.0,Emirates Stadium,jan,0.0,2012/13,2012,London,6.0,52.9,60107.0
544,Queens Park Rangers,Tottenham Hotspur,20.0,4.0,18439.0,Loftus Road,jan,1.0,2012/13,2012,London,6.0,52.9,18018.0
545,Aston Villa,Southampton,18.0,15.0,42749.0,Villa Park,jan,0.0,2012/13,2012,Birmingham,4.0,34.7,32500.0
546,Everton,Swansea City,5.0,9.0,39414.0,Goodison Park,jan,0.0,2012/13,2012,Liverpool,5.0,58.3,35782.0
547,Fulham,Wigan Athletic,13.0,17.0,25700.0,Craven Cottage,jan,0.0,2012/13,2012,London,6.0,52.9,25442.0
548,Norwich City,Newcastle United,12.0,16.0,27359.0,Carrow Road,jan,0.0,2012/13,2012,Norwich,5.0,27.9,26752.0
549,Reading,West Bromwich Albion,19.0,7.0,24161.0,Madejski Stadium,jan,0.0,2012/13,2012,Reading,5.0,39.4,23495.0
550,Stoke City,Chelsea,10.0,3.0,30089.0,bet365 Stadium,jan,0.0,2012/13,2012,Stoke,5.0,32.4,27348.0
551,Sunderland,West Ham United,14.0,11.0,48707.0,Stadium of Light,jan,0.0,2012/13,2012,Sunderland,4.0,20.8,39918.0
552,Chelsea,Queens Park Rangers,4.0,20.0,40834.0,Stamford Bridge,jan,1.0,2012/13,2012,London,6.0,52.9,41634.0
553,Liverpool,Sunderland,8.0,14.0,54074.0,Anfield,jan,0.0,2012/13,2012,Liverpool,5.0,58.3,44228.0
554,Newcastle United,Everton,15.0,5.0,52305.0,St James' Park,jan,0.0,2012/13,2012,Newcastle,3.0,190.9,49391.0
555,West Bromwich Albion,Fulham,7.0,13.0,26445.0,The Hawthorns,jan,0.0,2012/13,2012,West Bromwich,4.0,34.7,25436.0
556,Manchester City,Stoke City,2.0,10.0,53400.0,Etihad Stadium,jan,0.0,2012/13,2012,Manchester,5.0,32.4,47192.0
557,Swansea City,Aston Villa,9.0,16.0,20937.0,Liberty Stadium,jan,0.0,2012/13,2012,Swansea,6.0,99.2,20406.0
558,Tottenham Hotspur,Reading,3.0,19.0,36284.0,White Hart Lane,jan,0.0,2012/13,2012,London,6.0,52.9,36180.0
559,West Ham United,Norwich City,11.0,12.0,35345.0,Boleyn Ground,jan,0.0,2012/13,2012,London,6.0,52.9,35005.0
560,Wigan Athletic,Manchester United,18.0,1.0,25138.0,DW Stadium,jan,0.0,2012/13,2012,Wigan,5.0,58.3,20342.0
561,Southampton,Arsenal,17.0,6.0,32384.0,The Friends Provident St Mary's Stadium,jan,0.0,2012/13,2012,Southampton,6.0,35.7,31743.0
562,Everton,Chelsea,6.0,3.0,39414.0,Goodison Park,dec,0.0,2012/13,2012,Liverpool,6.0,72.8,39485.0
563,Queens Park Rangers,Liverpool,20.0,9.0,18439.0,Loftus Road,dec,0.0,2012/13,2012,London,6.0,65.1,18304.0
564,Sunderland,Tottenham Hotspur,13.0,4.0,48707.0,Stadium of Light,dec,0.0,2012/13,2012,Sunderland,4.0,22.9,41168.0
565,Aston Villa,Wigan Athletic,17.0,16.0,42749.0,Villa Park,dec,0.0,2012/13,2012,Birmingham,5.0,27.9,33374.0
566,Fulham,Swansea City,14.0,10.0,25700.0,Craven Cottage,dec,0.0,2012/13,2012,London,6.0,65.1,25700.0
567,Manchester United,West Bromwich Albion,1.0,7.0,75643.0,Old Trafford,dec,0.0,2012/13,2012,Manchester,5.0,37.4,75595.0
568,Norwich City,Manchester City,11.0,2.0,27359.0,Carrow Road,dec,0.0,2012/13,2012,Norwich,5.0,31.7,26827.0
569,Reading,West Ham United,19.0,12.0,24161.0,Madejski Stadium,dec,0.0,2012/13,2012,Reading,5.0,37.8,24183.0
570,Stoke City,Southampton,8.0,18.0,30089.0,bet365 Stadium,dec,0.0,2012/13,2012,Stoke,5.0,37.4,26391.0
571,Arsenal,Newcastle United,5.0,15.0,60704.0,Emirates Stadium,dec,0.0,2012/13,2012,London,6.0,65.1,60087.0
572,Everton,Wigan Athletic,5.0,18.0,39414.0,Goodison Park,dec,0.0,2012/13,2012,Liverpool,6.0,72.8,38749.0
573,Fulham,Southampton,14.0,17.0,25700.0,Craven Cottage,dec,0.0,2012/13,2012,London,6.0,65.1,25700.0
574,Manchester United,Newcastle United,1.0,15.0,75643.0,Old Trafford,dec,0.0,2012/13,2012,Manchester,5.0,37.4,75596.0
575,Norwich City,Chelsea,11.0,3.0,27359.0,Carrow Road,dec,0.0,2012/13,2012,Norwich,5.0,31.7,26831.0
576,Queens Park Rangers,West Bromwich Albion,20.0,6.0,18439.0,Loftus Road,dec,0.0,2012/13,2012,London,6.0,65.1,17782.0
577,Reading,Swansea City,19.0,9.0,24161.0,Madejski Stadium,dec,0.0,2012/13,2012,Reading,5.0,37.8,24050.0
578,Aston Villa,Tottenham Hotspur,16.0,4.0,42749.0,Villa Park,dec,0.0,2012/13,2012,Birmingham,5.0,27.9,36863.0
579,Stoke City,Liverpool,8.0,10.0,30089.0,bet365 Stadium,dec,0.0,2012/13,2012,Stoke,5.0,37.4,27490.0
580,Sunderland,Manchester City,13.0,2.0,48707.0,Stadium of Light,dec,0.0,2012/13,2012,Sunderland,4.0,22.9,42190.0
581,Swansea City,Manchester United,11.0,1.0,20937.0,Liberty Stadium,dec,0.0,2012/13,2012,Swansea,7.0,113.7,20650.0
582,Chelsea,Aston Villa,3.0,16.0,40834.0,Stamford Bridge,dec,0.0,2012/13,2012,London,6.0,65.1,41363.0
583,Wigan Athletic,Arsenal,18.0,4.0,25138.0,DW Stadium,dec,0.0,2012/13,2012,Wigan,6.0,72.8,21754.0
584,Manchester City,Reading,2.0,20.0,53400.0,Etihad Stadium,dec,0.0,2012/13,2012,Manchester,5.0,37.4,47007.0
585,Newcastle United,Queens Park Rangers,14.0,19.0,52305.0,St James' Park,dec,0.0,2012/13,2012,Newcastle,4.0,230.3,50180.0
586,Southampton,Sunderland,17.0,15.0,32384.0,The Friends Provident St Mary's Stadium,dec,0.0,2012/13,2012,Southampton,6.0,31.4,31275.0
587,Tottenham Hotspur,Stoke City,6.0,9.0,36284.0,White Hart Lane,dec,0.0,2012/13,2012,London,6.0,65.1,35702.0
588,West Bromwich Albion,Norwich City,7.0,10.0,26445.0,The Hawthorns,dec,0.0,2012/13,2012,West Bromwich,5.0,27.9,25799.0
589,West Ham United,Everton,12.0,5.0,35345.0,Boleyn Ground,dec,0.0,2012/13,2012,London,6.0,65.1,35005.0
