,team_1,team_2,team_1_rating,team_2_rating,capacity,month,derby,year,city,temprature,precipitation,attendance,occuper
424,4,16,12,2,39414,4,True,1996,31,10,36,40177,101
425,7,2,4,8,52305,4,False,1996,18,7,70,36320,69
426,20,11,7,11,25486,4,False,1996,16,11,30,7979,31
427,18,7,6,5,39812,4,False,1996,17,8,31,33798,84
428,23,16,18,3,22500,4,False,1996,14,7,23,21938,97
429,1,22,2,13,38419,4,False,1996,16,11,30,38044,99
430,14,12,14,1,31367,4,False,1996,12,9,26,30476,97
431,21,13,11,4,18300,4,False,1996,9,9,26,18071,98
432,4,19,12,9,39414,4,False,1996,31,10,36,36380,92
433,9,10,16,17,15200,4,False,1996,4,9,19,15244,100
434,3,2,15,7,23489,4,False,1996,28,9,22,19917,84
435,21,9,12,19,18300,4,False,1996,9,9,26,17839,97
436,4,22,14,11,39414,4,False,1996,31,10,36,30368,77
437,18,19,6,9,39812,4,False,1996,17,8,31,22667,56
438,10,6,16,18,35345,4,False,1996,16,11,30,23988,67
439,20,13,8,4,25486,4,False,1996,16,11,30,9015,35
440,11,14,10,13,37792,4,False,1996,22,7,25,27264,72
441,16,3,3,17,54074,4,False,1996,31,10,36,40079,74
442,2,1,6,2,40834,4,True,1996,16,11,30,28182,69
443,13,4,5,14,42749,4,False,1996,13,8,23,39339,92
